##  Ice:
##  Warren and Brandt 2008, JGR
##  eper is calculated from (n,k), mper is assumed to (1,0)
##  wl0_um  (re(eper),im(eper)) (re(mper),im(mper))
0.0443  (0.650104,0.269878)  (1,0)
0.0451  (0.650696,0.28545)  (1,0)
0.0459  (0.647961,0.302133)  (1,0)
0.0468	(0.643921,0.322062)  (1,0)
0.0477	(0.639508,0.343741)  (1,0)
0.0486	(0.636021,0.369333)  (1,0)
0.0496	(0.639124,0.400656)  (1,0)
0.0506	(0.647812,0.4214)  (1,0)
0.0517	(0.652532,0.439419)  (1,0)
0.0528	(0.651526,0.455868)  (1,0)
0.0539	(0.644149,0.474133)  (1,0)
0.0551	(0.632422,0.504247)  (1,0)
0.0564	(0.623973,0.543512)  (1,0)
0.0577	(0.618164,0.582488)  (1,0)
0.059	(0.61375,0.63296)  (1,0)
0.0605	(0.620208,0.689685)  (1,0)
0.062	(0.631553,0.746304)  (1,0)
0.0636	(0.647839,0.807224)  (1,0)
0.0653	(0.668304,0.87232)  (1,0)
0.067	(0.694766,0.952414)  (1,0)
0.0689	(0.751397,1.04362)  (1,0)
0.0708	(0.831289,1.1126)  (1,0)
0.0729	(0.922833,1.17111)  (1,0)
0.0738	(0.965439,1.19434)  (1,0)
0.0751	(1.02884,1.21588)  (1,0)
0.0775	(1.13796,1.24555)  (1,0)
0.08	(1.24617,1.25185)  (1,0)
0.0827	(1.34492,1.2629)  (1,0)
0.0855	(1.47156,1.30908)  (1,0)
0.0886	(1.68731,1.29234)  (1,0)
0.0918	(1.84116,1.07092)  (1,0)
0.093	(1.83825,1.01002)  (1,0)
0.0954	(1.83055,0.945674)  (1,0)
0.0992	(1.84881,0.88811)  (1,0)
0.1033	(1.8885,0.817535)  (1,0)
0.1078	(1.89168,0.701846)  (1,0)
0.11	(1.86867,0.677637)  (1,0)
0.1127	(1.84894,0.659927)  (1,0)
0.114	(1.83956,0.658302)  (1,0)
0.1181	(1.84017,0.67261)  (1,0)
0.121	(1.87916,0.688093)  (1,0)
0.124	(1.92694,0.629933)  (1,0)
0.1272	(1.9217,0.545961)  (1,0)
0.1295	(1.86778,0.47944)  (1,0)
0.1305	(1.82192,0.468081)  (1,0)
0.1319	(1.76025,0.482004)  (1,0)
0.1333	(1.7074,0.512548)  (1,0)
0.1348	(1.65244,0.555078)  (1,0)
0.1362	(1.59758,0.625531)  (1,0)
0.137	(1.57753,0.696416)  (1,0)
0.1378	(1.56796,0.742788)  (1,0)
0.1387	(1.57065,0.866396)  (1,0)
0.1393	(1.61115,0.904789)  (1,0)
0.1409	(1.69688,1.03713)  (1,0)
0.1425	(1.83577,1.13323)  (1,0)
0.1435	(1.94451,1.18088)  (1,0)
0.1442	(2.03972,1.20244)  (1,0)
0.145	(2.14603,1.17921)  (1,0)
0.1459	(2.25541,1.16749)  (1,0)
0.1468	(2.35499,1.0853)  (1,0)
0.1476	(2.42265,1.05676)  (1,0)
0.148	(2.4675,1.00932)  (1,0)
0.1485	(2.4959,0.958189)  (1,0)
0.1494	(2.53509,0.885349)  (1,0)
0.1512	(2.5789,0.739632)  (1,0)
0.1531	(2.62128,0.645916)  (1,0)
0.154	(2.64201,0.562268)  (1,0)
0.155	(2.65314,0.510526)  (1,0)
0.1569	(2.66211,0.359766)  (1,0)
0.158	(2.65295,0.270729)  (1,0)
0.1589	(2.62557,0.188082)  (1,0)
0.161	(2.50161,0.0695992)  (1,0)
0.163	(2.39685,0.0262358)  (1,0)
0.165	(2.318,0.00993583)  (1,0)
0.167	(2.25811,0.00377478)  (1,0)
0.169	(2.21117,0.00143852)  (1,0)
0.171	(2.17356,0.000549029)  (1,0)
0.173	(2.14183,0.00020972)  (1,0)
0.175	(2.11499,8.01901e-05)  (1,0)
