##  Magnetite:
##  Fig. 2 of Huffman and Stapp 1973 Interstellar dust and related topics
##  eper is calculated from (n,k), mper is assumed to (1,0)
##  wl0_um  (re(eper),im(eper)) (re(mper),im(mper))
0.294118  (3.844,4.036) (1,0)
0.303030  (3.906,4.011) (1,0)
0.31250 (3.968,3.985) (1,0)
0.322581  (4.030,3.960) (1,0)
0.333333  (4.074,3.978) (1,0)
0.344828  (4.388,4.104) (1,0)
0.357143  (4.672,4.054) (1,0)
0.370370  (4.830,4.059) (1,0)
0.384615  (5.071,3.984) (1,0)
0.400000  (5.152,3.904) (1,0)
0.416667  (5.327,3.693) (1,0)
0.434783  (5.484,3.528) (1,0)
0.454545  (5.561,3.444) (1,0)
0.476190  (5.688,3.372) (1,0)
0.500000  (5.827,3.250) (1,0)
0.526316  (5.840,3.200) (1,0)
0.555556  (5.915,3.112) (1,0)
0.588235  (6.154,3.009) (1,0)
0.625000  (6.375,2.734) (1,0)
0.666667  (6.416,2.528) (1,0)
0.714286  (6.317,2.193) (1,0)
0.769231  (6.155,1.907) (1,0)
0.833333  (5.831,1.708) (1,0)
0.909091  (5.623,1.776) (1,0)
1.000000  (5.078,2.116) (1,0)
1.111110  (4.754,3.206) (1,0)
1.250000  (4.806,4.266) (1,0)
1.428570  (5.226,5.342) (1,0)
1.666670  (5.958,6.528) (1,0)
2.000000  (6.894,7.618) (1,0)
2.500000  (7.040,8.400) (1,0)
